Município,a_colhida(ha),rend_medio(kg/ha),a_dest_a_colheita(ha),quat_produzida(t),valor_da_producao(R$ mil)
Aceguá,20,10000,20,200,260
Água Santa,15,15000,15,225,203
Agudo,40,5000,40,200,500
Ajuricaba,8,6000,8,48,120
Alecrim,22,4500,22,99,248
Alegrete,6,9000,6,54,65
Alegria,15,8667,15,130,325
Almirante Tamandaré do Sul,16,10000,16,160,320
Alpestre,202,23000,202,4646,6969
Alto Alegre,10,6000,10,60,108
Alto Feliz,142,18592,142,2640,3653
Amaral Ferrador,2,5000,2,10,12
Ametista do Sul,160,12000,160,1920,2880
André da Rocha,15,10000,15,150,159
Anta Gorda,100,5700,100,570,399
Antônio Prado,1473,22071,1473,32510,21979
Araricá,30,10000,30,300,489
Aratiba,74,15000,74,1110,1110
Arroio do Meio,5,10000,5,50,83
Arroio do Padre,2,20000,2,40,60
Arroio do Tigre,20,10000,20,200,270
Arroio dos Ratos,4,9000,4,36,61
Arvorezinha,78,6000,78,468,329
Augusto Pestana,55,8000,55,440,1100
Áurea,26,7000,26,182,273
Bagé,149,7168,149,1068,1388
Barão,40,13300,40,532,484
Barão de Cotegipe,138,15000,138,2070,3105
Barão do Triunfo,19,9000,19,171,171
Barra do Guarita,8,6000,8,48,62
Barra do Ribeiro,24,6000,24,144,158
Barra do Rio Azul,53,10000,53,530,636
Barra Funda,30,10000,30,300,450
Barracão,60,18000,60,1080,1080
Barros Cassal,8,10750,8,86,215
Benjamin Constant do Sul,24,15000,24,360,324
Bento Gonçalves,4812,21654,4812,104200,83551
Boa Vista das Missões,3,5000,3,15,38
Boa Vista do Buricá,7,13714,7,96,240
Boa Vista do Cadeado,17,3000,17,51,102
Boa Vista do Incra,5,5000,5,25,50
Boa Vista do Sul,86,19686,86,1693,1208
Bom Jesus,71,13803,71,980,931
Bom Princípio,17,20000,17,340,680
Bom Progresso,10,6000,10,60,78
Bom Retiro do Sul,4,6000,4,24,40
Boqueirão do Leão,77,6000,77,462,832
Bossoroca,5,3600,5,18,35
Bozano,20,12000,20,240,600
Braga,7,4000,7,28,36
Brochier,2,15000,2,30,60
Butiá,6,12000,6,72,144
Caçapava do Sul,28,9000,28,252,328
Cacequi,106,9500,106,1007,1259
Cachoeira do Sul,15,8000,15,120,168
Cacique Doble,28,18000,28,504,554
Caibaté,15,4000,15,60,111
Caiçara,10,6000,10,60,90
Camaquã,12,5000,12,60,75
Camargo,30,14000,30,420,924
Campestre da Serra,761,17063,761,12985,10226
Campina das Missões,6,12000,6,72,180
Campinas do Sul,6,10000,6,60,72
Campo Novo,9,8000,9,72,94
Campos Borges,6,5000,6,30,54
Candelária,5,8000,5,40,56
Cândido Godói,10,7000,10,70,175
Candiota,215,7000,215,1505,1957
Canela,30,12833,30,385,366
Canguçu,20,5000,20,100,150
Canudos do Vale,7,5000,7,35,47
Capão Bonito do Sul,2,10000,2,20,40
Capela de Santana,4,12000,4,48,96
Capitão,7,2000,7,14,14
Caraá,21,5000,21,105,210
Carazinho,5,10000,5,50,75
Carlos Barbosa,326,18359,326,5985,5727
Carlos Gomes,12,7500,12,90,90
Casca,20,15000,20,300,540
Caseiros,95,17179,95,1632,1772
Catuípe,40,10000,40,400,1000
Caxias do Sul,3900,16538,3900,64500,57900
Centenário,12,13000,12,156,312
Cerro Branco,9,10000,9,90,122
Cerro Grande,4,3000,4,12,30
Cerro Grande do Sul,16,6000,16,96,117
Cerro Largo,20,6000,20,120,300
Chapada,30,18000,30,540,1350
Charqueadas,3,4000,3,12,24
Charrua,60,18000,60,1080,1177
Chiapetta,8,7000,8,56,140
Chuvisca,12,3000,12,36,45
Ciríaco,6,20000,6,120,252
Colinas,10,20000,10,200,310
Colorado,10,6000,10,60,90
Condor,6,6000,6,36,72
Constantina,60,10000,60,600,600
Coqueiro Baixo,30,5600,30,168,109
Coqueiros do Sul,5,10000,5,50,75
Coronel Barros,6,4000,6,24,60
Coronel Bicaco,16,7000,16,112,140
Coronel Pilar,985,21929,985,21600,14550
Cotiporã,1240,21806,1240,27040,21568
Coxilha,7,9000,7,63,113
Crissiumal,25,6000,25,150,195
Cristal,5,5000,5,25,31
Cristal do Sul,23,20000,23,460,690
Cruz Alta,6,4000,6,24,48
Cruzaltense,38,15000,38,570,627
