Município,Óbitos_p/Residênc
430003 Aceguá,23
430005 Água Santa,31
430010 Agudo,126
430020 Ajuricaba,52
430030 Alecrim,60
430040 Alegrete,723
430045 Alegria,40
430047 Almirante Tamandaré do Sul,16
430050 Alpestre,67
430055 Alto Alegre,13
430057 Alto Feliz,20
430060 Alvorada,1543
430063 Amaral Ferrador,44
430064 Ametista do Sul,47
430066 André da Rocha,10
430070 Anta Gorda,55
430080 Antônio Prado,83
430085 Arambaré,31
430087 Araricá,36
430090 Aratiba,44
430100 Arroio do Meio,146
430107 Arroio do Padre,23
430105 Arroio do Sal,71
430120 Arroio do Tigre,101
430110 Arroio dos Ratos,122
430130 Arroio Grande,192
430140 Arvorezinha,64
430150 Augusto Pestana,79
430155 Áurea,28
430160 Bagé,1143
430163 Balneário Pinhal,127
430165 Barão,40
430170 Barão de Cotegipe,59
430175 Barão do Triunfo,38
430185 Barra do Guarita,29
430187 Barra do Quaraí,23
430190 Barra do Ribeiro,104
430192 Barra do Rio Azul,17
430195 Barra Funda,19
430180 Barracão,32
430200 Barros Cassal,98
430205 Benjamin Constant do Sul,18
430210 Bento Gonçalves,735
430215 Boa Vista das Missões,21
430220 Boa Vista do Buricá,56
430222 Boa Vista do Cadeado,14
430223 Boa Vista do Incra,16
430225 Boa Vista do Sul,25
430230 Bom Jesus,75
430235 Bom Princípio,80
430237 Bom Progresso,19
430240 Bom Retiro do Sul,112
430245 Boqueirão do Leão,56
430250 Bossoroca,57
430258 Bozano,21
430260 Braga,34
430265 Brochier,46
430270 Butiá,179
430280 Caçapava do Sul,348
430290 Cacequi,92
430300 Cachoeira do Sul,839
430310 Cachoeirinha,805
430320 Cacique Doble,40
430330 Caibaté,44
430340 Caiçara,52
430350 Camaquã,529
430355 Camargo,20
430360 Cambará do Sul,33
430367 Campestre da Serra,26
430370 Campina das Missões,44
430380 Campinas do Sul,49
430390 Campo Bom,354
430400 Campo Novo,34
430410 Campos Borges,29
430420 Candelária,273
430430 Cândido Godói,57
430435 Candiota,52
430440 Canela,285
430450 Canguçu,494
430460 Canoas,2684
430461 Canudos do Vale,22
430462 Capão Bonito do Sul,11
430463 Capão da Canoa,359
430465 Capão do Cipó,16
430466 Capão do Leão,227
430468 Capela de Santana,78
430469 Capitão,19
430467 Capivari do Sul,29
430471 Caraá,36
430470 Carazinho,543
430480 Carlos Barbosa,151
430485 Carlos Gomes,24
430490 Casca,61
430495 Caseiros,25
430500 Catuípe,84
430510 Caxias do Sul,2679
430511 Centenário,35
430512 Cerrito,67
430513 Cerro Branco,45
430515 Cerro Grande,20
430517 Cerro Grande do Sul,71
430520 Cerro Largo,121
430530 Chapada,79
430535 Charqueadas,243
430537 Charrua,25
430540 Chiapetta,31
430543 Chuí,27
430544 Chuvisca,29
430545 Cidreira,174
430550 Ciríaco,39
430558 Colinas,30
430560 Colorado,35
430570 Condor,48
430580 Constantina,87
430583 Coqueiro Baixo,20
430585 Coqueiros do Sul,28
430587 Coronel Barros,21
430590 Coronel Bicaco,61
430593 Coronel Pilar,16
430595 Cotiporã,40
430597 Coxilha,18
430600 Crissiumal,150
430605 Cristal,52
430607 Cristal do Sul,29
430610 Cruz Alta,548
430613 Cruzaltense,14
430620 Cruzeiro do Sul,112
430630 David Canabarro,19
430632 Derrubadas,25
430635 Dezesseis de Novembro,24
430637 Dilermando de Aguiar,30
430640 Dois Irmãos,157
430642 Dois Irmãos das Missões,15
430645 Dois Lajeados,33
430650 Dom Feliciano,101
430660 Dom Pedrito,382
430655 Dom Pedro de Alcântara,23
430670 Dona Francisca,33
430673 Doutor Maurício Cardoso,67
430675 Doutor Ricardo,18
430676 Eldorado do Sul,248
430680 Encantado,168
430690 Encruzilhada do Sul,256
430692 Engenho Velho,10
430695 Entre Rios do Sul,16
430693 Entre-Ijuís,90
430697 Erebango,21
430700 Erechim,647
430705 Ernestina,32
430720 Erval Grande,43
430730 Erval Seco,64
