Município,População_estimada
430003 Aceguá,4702
430005 Água Santa,3840
430010 Agudo,17120
430020 Ajuricaba,7387
430030 Alecrim,6865
430040 Alegrete,78499
430045 Alegria,4135
430047 Almirante Tamandaré do Sul,2091
430050 Alpestre,7640
430055 Alto Alegre,1828
430057 Alto Feliz,3025
430060 Alvorada,206561
430063 Amaral Ferrador,6778
430064 Ametista do Sul,7569
430066 André da Rocha,1293
430070 Anta Gorda,6222
430080 Antônio Prado,13285
430085 Arambaré,3762
430087 Araricá,5301
430090 Aratiba,6641
430100 Arroio do Meio,20045
430107 Arroio do Padre,2883
430105 Arroio do Sal,8785
430120 Arroio do Tigre,13316
430110 Arroio dos Ratos,14197
430130 Arroio Grande,18949
430140 Arvorezinha,10595
430150 Augusto Pestana,7145
430155 Áurea,3732
430160 Bagé,121749
430163 Balneário Pinhal,12305
430165 Barão,6061
430170 Barão de Cotegipe,6754
430175 Barão do Triunfo,7388
430185 Barra do Guarita,3236
430187 Barra do Quaraí,4201
430190 Barra do Ribeiro,13263
430192 Barra do Rio Azul,1952
430195 Barra Funda,2497
430180 Barracão,5485
430200 Barros Cassal,11482
430205 Benjamin Constant do Sul,2264
430210 Bento Gonçalves,113287
430215 Boa Vista das Missões,2170
430220 Boa Vista do Buricá,6815
430222 Boa Vista do Cadeado,2523
430223 Boa Vista do Incra,2559
430225 Boa Vista do Sul,2859
430230 Bom Jesus,11797
430235 Bom Princípio,12932
430237 Bom Progresso,2261
430240 Bom Retiro do Sul,12110
430245 Boqueirão do Leão,7912
430250 Bossoroca,6873
430258 Bozano,2238
430260 Braga,3688
430265 Brochier,4952
430270 Butiá,21192
430280 Caçapava do Sul,34654
430290 Cacequi,13685
430300 Cachoeira do Sul,85712
430310 Cachoeirinha,125975
430320 Cacique Doble,5080
430330 Caibaté,5058
430340 Caiçara,5104
430350 Camaquã,65835
430355 Camargo,2718
430360 Cambará do Sul,6695
430367 Campestre da Serra,3392
430370 Campina das Missões,6070
430380 Campinas do Sul,5649
